model,origin,prompt_type,category,composite_score_by_prompt,composite_score_by_category,mean_composite,token_count,latency_s,rank
Claude 3.7 Sonnet,West,structured,algorithm,96.1,94.2,91.3,812,6.4,1
Claude 3.7 Sonnet,West,structured,debugging,96.1,95.0,91.3,812,6.4,1
Claude 3.7 Sonnet,West,structured,optimization,96.1,91.5,91.3,812,6.4,1
Claude 3.7 Sonnet,West,structured,documentation,96.1,88.7,91.3,812,6.4,1
Claude 3.7 Sonnet,West,semi_structured,algorithm,92.8,94.2,91.3,812,6.4,1
Claude 3.7 Sonnet,West,semi_structured,debugging,92.8,95.0,91.3,812,6.4,1
Claude 3.7 Sonnet,West,semi_structured,optimization,92.8,91.5,91.3,812,6.4,1
Claude 3.7 Sonnet,West,semi_structured,documentation,92.8,88.7,91.3,812,6.4,1
Claude 3.7 Sonnet,West,minimal,algorithm,85.0,94.2,91.3,812,6.4,1
Claude 3.7 Sonnet,West,minimal,debugging,85.0,95.0,91.3,812,6.4,1
Claude 3.7 Sonnet,West,minimal,optimization,85.0,91.5,91.3,812,6.4,1
Claude 3.7 Sonnet,West,minimal,documentation,85.0,88.7,91.3,812,6.4,1
Kimi K2 Instruct,East,structured,algorithm,89.1,90.1,88.6,743,5.1,2
Kimi K2 Instruct,East,structured,debugging,89.1,87.5,88.6,743,5.1,2
Kimi K2 Instruct,East,structured,optimization,89.1,88.3,88.6,743,5.1,2
Kimi K2 Instruct,East,structured,documentation,89.1,91.2,88.6,743,5.1,2
Kimi K2 Instruct,East,semi_structured,algorithm,89.4,90.1,88.6,743,5.1,2
Kimi K2 Instruct,East,semi_structured,debugging,89.4,87.5,88.6,743,5.1,2
Kimi K2 Instruct,East,semi_structured,optimization,89.4,88.3,88.6,743,5.1,2
Kimi K2 Instruct,East,semi_structured,documentation,89.4,91.2,88.6,743,5.1,2
Kimi K2 Instruct,East,minimal,algorithm,87.4,90.1,88.6,743,5.1,2
Kimi K2 Instruct,East,minimal,debugging,87.4,87.5,88.6,743,5.1,2
Kimi K2 Instruct,East,minimal,optimization,87.4,88.3,88.6,743,5.1,2
Kimi K2 Instruct,East,minimal,documentation,87.4,91.2,88.6,743,5.1,2
Gemini 2.0 Flash,West,structured,algorithm,92.0,88.4,87.0,695,4.8,3
Gemini 2.0 Flash,West,structured,debugging,92.0,87.0,87.0,695,4.8,3
Gemini 2.0 Flash,West,structured,optimization,92.0,89.5,87.0,695,4.8,3
Gemini 2.0 Flash,West,structured,documentation,92.0,84.3,87.0,695,4.8,3
Gemini 2.0 Flash,West,semi_structured,algorithm,87.5,88.4,87.0,695,4.8,3
Gemini 2.0 Flash,West,semi_structured,debugging,87.5,87.0,87.0,695,4.8,3
Gemini 2.0 Flash,West,semi_structured,optimization,87.5,89.5,87.0,695,4.8,3
Gemini 2.0 Flash,West,semi_structured,documentation,87.5,84.3,87.0,695,4.8,3
Gemini 2.0 Flash,West,minimal,algorithm,81.5,88.4,87.0,695,4.8,3
Gemini 2.0 Flash,West,minimal,debugging,81.5,87.0,87.0,695,4.8,3
Gemini 2.0 Flash,West,minimal,optimization,81.5,89.5,87.0,695,4.8,3
Gemini 2.0 Flash,West,minimal,documentation,81.5,84.3,87.0,695,4.8,3
GLM-4-Plus,East,structured,algorithm,87.3,85.2,84.2,610,3.9,4
GLM-4-Plus,East,structured,debugging,87.3,83.6,84.2,610,3.9,4
GLM-4-Plus,East,structured,optimization,87.3,87.5,84.2,610,3.9,4
GLM-4-Plus,East,structured,documentation,87.3,81.0,84.2,610,3.9,4
GLM-4-Plus,East,semi_structured,algorithm,85.1,85.2,84.2,610,3.9,4
GLM-4-Plus,East,semi_structured,debugging,85.1,83.6,84.2,610,3.9,4
GLM-4-Plus,East,semi_structured,optimization,85.1,87.5,84.2,610,3.9,4
GLM-4-Plus,East,semi_structured,documentation,85.1,81.0,84.2,610,3.9,4
GLM-4-Plus,East,minimal,algorithm,80.2,85.2,84.2,610,3.9,4
GLM-4-Plus,East,minimal,debugging,80.2,83.6,84.2,610,3.9,4
GLM-4-Plus,East,minimal,optimization,80.2,87.5,84.2,610,3.9,4
GLM-4-Plus,East,minimal,documentation,80.2,81.0,84.2,610,3.9,4
GPT-4o,West,structured,algorithm,89.0,84.0,82.7,924,7.2,5
GPT-4o,West,structured,debugging,89.0,80.5,82.7,924,7.2,5
GPT-4o,West,structured,optimization,89.0,83.2,82.7,924,7.2,5
GPT-4o,West,structured,documentation,89.0,83.4,82.7,924,7.2,5
GPT-4o,West,semi_structured,algorithm,82.8,84.0,82.7,924,7.2,5
GPT-4o,West,semi_structured,debugging,82.8,80.5,82.7,924,7.2,5
GPT-4o,West,semi_structured,optimization,82.8,83.2,82.7,924,7.2,5
GPT-4o,West,semi_structured,documentation,82.8,83.4,82.7,924,7.2,5
GPT-4o,West,minimal,algorithm,76.4,84.0,82.7,924,7.2,5
GPT-4o,West,minimal,debugging,76.4,80.5,82.7,924,7.2,5
GPT-4o,West,minimal,optimization,76.4,83.2,82.7,924,7.2,5
GPT-4o,West,minimal,documentation,76.4,83.4,82.7,924,7.2,5
MiniMax-M2,East,structured,algorithm,84.5,82.7,81.5,578,3.2,6
MiniMax-M2,East,structured,debugging,84.5,81.3,81.5,578,3.2,6
MiniMax-M2,East,structured,optimization,84.5,82.1,81.5,578,3.2,6
MiniMax-M2,East,structured,documentation,84.5,80.6,81.5,578,3.2,6
MiniMax-M2,East,semi_structured,algorithm,82.0,82.7,81.5,578,3.2,6
MiniMax-M2,East,semi_structured,debugging,82.0,81.3,81.5,578,3.2,6
MiniMax-M2,East,semi_structured,optimization,82.0,82.1,81.5,578,3.2,6
MiniMax-M2,East,semi_structured,documentation,82.0,80.6,81.5,578,3.2,6
MiniMax-M2,East,minimal,algorithm,78.0,82.7,81.5,578,3.2,6
MiniMax-M2,East,minimal,debugging,78.0,81.3,81.5,578,3.2,6
MiniMax-M2,East,minimal,optimization,78.0,82.1,81.5,578,3.2,6
MiniMax-M2,East,minimal,documentation,78.0,80.6,81.5,578,3.2,6
